SiteName,SiteNumber,Year,Latitude,Longitude,Water_Column_Depth,THg,GEM,Methylated_Hg,DMHg
North Open Polynya,1,2005,76.3,71.407,0,0.1,19.5,21.4,4.7
North Open Polynya,1,2005,76.3,71.407,250,0.2,8,81.2,86.2
North Open Polynya,1,2005,76.3,71.407,660,0.2,3.1,87.1,110
North Open Polynya,2,2005,76.255,74.594,0,0.4,14.5,30.5,2.8
North Open Polynya,2,2005,76.255,74.594,200,0.2,49,85.1,67.6
North Open Polynya,2,2005,76.255,74.594,439,0.2,133,103,76.7
North Open Polynya,3,2005,76.383,77.382,0,0.2,22.4,40.3,10.9
North Open Polynya,3,2005,76.383,77.382,200,0.2,27.7,64.1,56.7
North Open Polynya,3,2005,76.383,77.382,347,0.2,28.3,89.3,60.7
North Open Polynya,4,2005,77.335,76.021,0,0.3,25.6,30.8,15.2
North Open Polynya,4,2005,77.335,76.021,180,0.4,43.4,85.9,42.2
North Open Polynya,4,2005,77.335,76.021,522,1.2,31.7,146,71
North Open Polynya,5,2005,78.328,74.356,0,0.3,48.9,28.5,10
North Open Polynya,5,2005,78.328,74.356,140,0.2,47.8,77.6,35.3
North Open Polynya,5,2005,78.328,74.356,487,0.2,85.9,106,37.8
Northwest Passage,6,2005,75.24,74.982,0,1.3,25.1,15,4.5
Northwest Passage,6,2005,75.24,74.982,200,0.6,33.1,81.8,54.4
Northwest Passage,6,2005,75.24,74.982,470,0.3,24.1,112,76.1
Northwest Passage,7,2005,74.051,79.921,0,2.1,20,15,4
Northwest Passage,7,2005,74.051,79.921,200,0.1,12,62.6,88.3
Northwest Passage,7,2005,74.051,79.921,808,0.3,9.3,99.7,92.8
Northwest Passage,8,2005,74.267,91.197,0,0.5,39.8,31.6,14.3
Northwest Passage,8,2005,74.267,91.197,200,0.2,50.3,86.4,50.2
Northwest Passage,8,2005,74.267,91.197,322,0.3,12.2,90.7,83.5
Northwest Passage,9,2005,73.654,96.284,0,0.4,20.3,68,52.3
Northwest Passage,9,2005,73.654,96.284,150,0.3,43.1,178,161
Northwest Passage,9,2005,73.654,96.284,240,0.2,13.7,158,170
Northwest Passage,10,2005,69.167,100.7,0,0.5,25.6,15,5.8
Northwest Passage,10,2005,69.167,100.7,35,0.2,30.1,31.4,24
Northwest Passage,10,2005,69.167,100.7,54,0.2,23.2,48.4,36.5
Northwest Passage,11,2005,68.678,103.869,0,0.4,17.3,15,6.7
Northwest Passage,11,2005,68.678,103.869,50,0.2,11.3,43.9,53.5
Northwest Passage,11,2005,68.678,103.869,102,0.3,,46.3,67
Hudson Strait,12,2005,61.153,64.825,0,0.2,22.5,24.4,32
Hudson Strait,12,2005,61.153,64.825,75,0.2,73.9,55.6,3.9
Hudson Strait,12,2005,61.153,64.825,435,0.2,27.2,96.8,43.4
Hudson Strait,13,2005,62.275,71.978,0,,,,
Hudson Strait,13,2005,62.275,71.978,150,0.1,24.7,26.7,41.5
Hudson Strait,13,2005,62.275,71.978,330,0.2,25.7,60.8,49.1
Hudson Strait,14,2005,64.029,79.215,0,0.2,24.2,23,3.1
Hudson Strait,14,2005,64.029,79.215,200,1.7,11,37.4,22.1
Hudson Strait,14,2005,64.029,79.215,304,0.3,5.6,30.1,24.4
Hudson Bay,15,2005,62.138,78.714,0,0.2,33,24.5,1.9
Hudson Bay,15,2005,62.138,78.714,70,0.2,18.2,34.5,54.8
Hudson Bay,15,2005,62.138,78.714,141,0.1,5,42.8,48.3
Hudson Bay,16,2005,60.125,79.166,0,0.2,23.3,15,1.4
Hudson Bay,16,2005,60.125,79.166,75,0.2,ND,61,93.9
Hudson Bay,16,2005,60.125,79.166,128,0.2,29.5,107,82
Hudson Bay,17,2005,58.419,78.332,0,0.3,41.2,15.9,3.4
Hudson Bay,17,2005,58.419,78.332,30,0.7,39.6,15,4.6
Hudson Bay,17,2005,58.419,78.332,104,0.5,ND,78.4,91.1
Hudson Bay,18,2005,55.285,77.899,0,2.9,33.3,30.2,2.1
Hudson Bay,18,2005,55.285,77.899,45,0.3,31.8,19.3,32.4
Hudson Bay,18,2005,55.285,77.899,82,0.2,1.9,32.1,43.9
Hudson Bay,19,2005,54.72,80.752,0,0.4,33.2,15,2.4
Hudson Bay,19,2005,54.72,80.752,50,0.3,22.3,39.9,40.6
Hudson Bay,19,2005,54.72,80.752,87,0.3,ND,64,81.4
Hudson Bay,20,2005,55.429,80.487,0,0.2,29,15,1.4
Hudson Bay,20,2005,55.429,80.487,50,0.4,31.3,41.3,36.5
Hudson Bay,20,2005,55.429,80.487,84,0.4,9.7,55.8,58.5
Hudson Bay,21,2005,58.398,83.292,0,1,25.6,15,2.6
Hudson Bay,21,2005,58.398,83.292,75,0.2,25.9,44.2,76.5
Hudson Bay,21,2005,58.398,83.292,168,0.3,12,126,129
Hudson Bay,22,2005,57.574,91.612,0,0.3,32.6,41.9,0.1
Hudson Bay,22,2005,57.574,91.612,20,0.2,31.5,15,0.4
Hudson Bay,22,2005,57.574,91.612,60,1.4,32.4,24.5,1.5
Hudson Bay,23,2005,59.06,87.482,0,0.2,28,22.2,0.1
Hudson Bay,23,2005,59.06,87.482,100,0.3,85.9,71.1,38
Hudson Bay,23,2005,59.06,87.482,188,0.3,81.9,63.5,22.9
Hudson Bay,24,2005,59.041,94.001,0,0.4,30.5,18.7,0.5
Hudson Bay,24,2005,59.041,94.001,20,0.3,27,44.8,1.1
Hudson Bay,24,2005,59.041,94.001,45,0.2,41,27.6,3.2
